±¸¹Ì°ü¸Áµµ TEST v3
Network Table - Nodes
                        	Elevation       	Base Demand     	Initial Quality 	Demand          	Head            	Pressure        	Quality         
 Node ID                	m               	CMD             	                	CMD             	m               	m               	                
Junc B053               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B054               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B055               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B058               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B059               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B060               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B061               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B062               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B063               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B064               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B065               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B101               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B102               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B103               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B104               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B105               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B106               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B107               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B108               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B109               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B110               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B111               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B112               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B113               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B114               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B115               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B116               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B117               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B118               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B201               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B202               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B203               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B204               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B205               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
Junc B206               	10.00           	0               	0               	0.00            	100.00          	90.00           	0.00            
